nombre,codigo,departamento
SOPLAVIENTO,13760,BOLÍVAR
TALAIGUA NUEVO,13780,BOLÍVAR
TIQUISIO,13810,BOLÍVAR
TURBACO,13836,BOLÍVAR
TURBANA,13838,BOLÍVAR
VILLANUEVA,13873,BOLÍVAR
ZAMBRANO,13894,BOLÍVAR
BOGOTA D.C.,11001,BOGOTÁ D.C.
ALMEIDA,15022,BOYACÁ
AQUITANIA,15047,BOYACÁ
ARCABUCO,15051,BOYACÁ
BELÉN,15087,BOYACÁ
BERBEO,1509,BOYACÁ
BETÉITIVA,15092,BOYACÁ
BOAVITA,15097,BOYACÁ
BOYACÁ,15104,BOYACÁ
BUENAVISTA,15109,BOYACÁ
CAMPOHERMOSO,15135,BOYACÁ
CERINZA,15162,BOYACÁ
CHINAVITA,15172,BOYACÁ
CHIQUINQUIRÁ,15176,BOYACÁ
CHÍQUIZA,15232,BOYACÁ
CHISCAS,1518,BOYACÁ
CHITA,15183,BOYACÁ
CHITARAQUE,15185,BOYACÁ
CHIVATÁ,15187,BOYACÁ
CHIVOR,15236,BOYACÁ
CIÉNEGA,15189,BOYACÁ
CÓMBITA,15204,BOYACÁ
COPER,15212,BOYACÁ
CORRALES,15215,BOYACÁ
COVARACHÍA,15218,BOYACÁ
CUBARÁ,15223,BOYACÁ
CUCAITA,15224,BOYACÁ
CUÍTIVA,15226,BOYACÁ
EL COCUY,15244,BOYACÁ
EL ESPINO,15248,BOYACÁ
FIRAVITOBA,15272,BOYACÁ
FLORESTA,15276,BOYACÁ
GACHANTIVÁ,15293,BOYACÁ
GAMEZA,15296,BOYACÁ
GARAGOA,15299,BOYACÁ
GUACAMAYAS,15317,BOYACÁ
GUATEQUE,15322,BOYACÁ
GUAYATÁ,15325,BOYACÁ
GÜICÁN,15332,BOYACÁ
IZA,15362,BOYACÁ
JENESANO,15367,BOYACÁ
JERICÓ,15368,BOYACÁ
LA CAPILLA,1538,BOYACÁ
LA UVITA,15403,BOYACÁ
LABRANZAGRANDE,15377,BOYACÁ
MACANAL,15425,BOYACÁ
MARIPÍ,15442,BOYACÁ
MIRAFLORES,15455,BOYACÁ
MONGUA,15464,BOYACÁ
MONGUÍ,15466,BOYACÁ
MONIQUIRÁ,15469,BOYACÁ
MOTAVITA,15476,BOYACÁ
MUZO,1548,BOYACÁ
NOBSA,15491,BOYACÁ
NUEVO COLÓN,15494,BOYACÁ
OICATÁ,155,BOYACÁ
OTANCHE,15507,BOYACÁ
PACHAVITA,15511,BOYACÁ
PÁEZ,15514,BOYACÁ
PAIPA,15516,BOYACÁ
PAJARITO,15518,BOYACÁ
PANQUEBA,15522,BOYACÁ
PAUNA,15531,BOYACÁ
PAYA,15533,BOYACÁ
PAZ DE RÍO,15537,BOYACÁ
PESCA,15542,BOYACÁ
PISBA,1555,BOYACÁ
PUERTO BOYACÁ,15572,BOYACÁ
QUÍPAMA,1558,BOYACÁ
RAMIRIQUÍ,15599,BOYACÁ
RÁQUIRA,156,BOYACÁ
RONDÓN,15621,BOYACÁ
SABOYÁ,15632,BOYACÁ
SÁCHICA,15638,BOYACÁ
SAMACÁ,15646,BOYACÁ
SAN EDUARDO,1566,BOYACÁ
SAN JOSÉ DE PARE,15664,BOYACÁ
SAN LUIS DE GACENO,15667,BOYACÁ
SAN MATEO,15673,BOYACÁ
SAN MIGUEL DE SEMA,15676,BOYACÁ
SAN PABLO DE BORBUR,15681,BOYACÁ
SANTA MARÍA,1569,BOYACÁ
SANTA ROSA DE VITERBO,15693,BOYACÁ
SANTA SOFÍA,15696,BOYACÁ
SANTANA,15686,BOYACÁ
SATIVANORTE,1572,BOYACÁ
SATIVASUR,15723,BOYACÁ
SIACHOQUE,1574,BOYACÁ
SOATÁ,15753,BOYACÁ
SOCHA,15757,BOYACÁ
SOCOTÁ,15755,BOYACÁ
SOGAMOSO,15759,BOYACÁ
SOMONDOCO,15761,BOYACÁ
SORA,15762,BOYACÁ
SORACÁ,15764,BOYACÁ
SOTAQUIRÁ,15763,BOYACÁ
SUSACÓN,15774,BOYACÁ
SUTAMARCHÁN,15776,BOYACÁ
SUTATENZA,15778,BOYACÁ
TASCO,1579,BOYACÁ
TENZA,15798,BOYACÁ
TIBANÁ,15804,BOYACÁ
TIBASOSA,15806,BOYACÁ
TINJACÁ,15808,BOYACÁ
TIPACOQUE,1581,BOYACÁ
TOCA,15814,BOYACÁ
TOGÜÍ,15816,BOYACÁ
TÓPAGA,1582,BOYACÁ
TOTA,15822,BOYACÁ
TUNJA,15001,BOYACÁ
TUNUNGUÁ,15832,BOYACÁ
TURMEQUÉ,15835,BOYACÁ
TUTA,15837,BOYACÁ
TUTAZÁ,15839,BOYACÁ
UMBITA,15842,BOYACÁ
VENTAQUEMADA,15861,BOYACÁ
VILLA DE LEYVA,15407,BOYACÁ
VIRACACHÁ,15879,BOYACÁ
ZETAQUIRA,15897,BOYACÁ
BUSBANZÁ,15114,BOYACÁ
DUITAMA,15238,BOYACÁ
MANIZALES,17001,CALDAS
AGUADAS,17013,CALDAS
ANSERMA,17042,CALDAS
ARANZAZU,17050,CALDAS
BELALCAZAR,17088,CALDAS
CHINCHINA,17174,CALDAS
FILADELFIA,17272,CALDAS
LA DORADA,17380,CALDAS
LA MERCED,17388,CALDAS
MANZANARES,17433,CALDAS
MARMATO,17442,CALDAS
MARQUETALIA,17444,CALDAS
MARULANDA,17446,CALDAS
NEIRA,17486,CALDAS
NORCASIA,17495,CALDAS
PACORA,17513,CALDAS
PALESTINA,17524,CALDAS
PENSILVANIA,17541,CALDAS
RIOSUCIO,17614,CALDAS
RISARALDA,17616,CALDAS
SALAMINA,17653,CALDAS
SAMANA,17662,CALDAS
SAN JOSE,17665,CALDAS
SUPIA,17777,CALDAS
VICTORIA,17867,CALDAS
VILLAMARIA,17873,CALDAS
VITERBO,17877,CALDAS
FLORENCIA,18001,CAQUETÁ
ALBANIA,18029,CAQUETÁ
BELEN DE LOS ANDAQUIES,18094,CAQUETÁ
CARTAGENA DEL CHAIRA,18150,CAQUETÁ
CURRILLO,18205,CAQUETÁ
EL DONCELLO,18247,CAQUETÁ
EL PAUJIL,18256,CAQUETÁ
LA MONTAÑITA,18410,CAQUETÁ
MILAN,18460,CAQUETÁ
MORELIA,18479,CAQUETÁ
PUERTO RICO,18592,CAQUETÁ
SAN JOSE DEL FRAGUA,18610,CAQUETÁ
SAN VICENTE DEL CAGUAN,18753,CAQUETÁ
SOLANO,18756,CAQUETÁ
SOLITA,18785,CAQUETÁ
YOPAL,85001,CASANARE
AGUAZUL,85010,CASANARE
CHAMEZA,85015,CASANARE
HATO COROZAL,85125,CASANARE
LA SALINA,85136,CASANARE
MANI,85139,CASANARE
MONTERREY,85162,CASANARE
NUNCHIA,85225,CASANARE
OROCUE,85230,CASANARE
PAZ DE ARIPORO,85250,CASANARE
PORE,85263,CASANARE
RECETOR,85279,CASANARE
SACAMA,85315,CASANARE
SAN LUIS DE PALENQUE,85325,CASANARE
TAMARA,85400,CASANARE
TAURAMENA,85410,CASANARE
TRINIDAD,85430,CASANARE
POPAYAN,19001,CAUCA
ALMAGUER,19022,CAUCA
BALBOA,19075,CAUCA
BOLIVAR,19100,CAUCA
BUENOS AIRES,19110,CAUCA
CAJIBIO,19130,CAUCA
CALDONO,19137,CAUCA
CALOTO,19142,CAUCA
CORINTO,19212,CAUCA
EL TAMBO,19256,CAUCA
GUACHENE,19300,CAUCA
GUAPI,19318,CAUCA
INZA,19355,CAUCA
JAMBALO,19364,CAUCA
LA SIERRA,19392,CAUCA
LA VEGA,19397,CAUCA
LOPEZ,19418,CAUCA
MERCADERES,19450,CAUCA
MIRANDA,19455,CAUCA
PADILLA,19513,CAUCA
PAEZ,19517,CAUCA
PATIA,19532,CAUCA
PIAMONTE,19533,CAUCA
PIENDAMO,19548,CAUCA
PUERTO TEJADA,19573,CAUCA
PURACE,19585,CAUCA
ROSAS,19622,CAUCA
SAN SEBASTIAN,19693,CAUCA
SANTANDER DE QUILICHAO,19698,CAUCA
SILVIA,19743,CAUCA
SOTARA,19760,CAUCA
SUAREZ,19780,CAUCA
SUCRE,19785,CAUCA
TIMBIO,19807,CAUCA
TIMBIQUI,19809,CAUCA
TORIBIO,19821,CAUCA
TOTORO,19824,CAUCA
VILLA RICA,19845,CAUCA
VALLEDUPAR,20001,CESAR
AGUACHICA,20011,CESAR
AGUSTIN CODAZZI,20013,CESAR
ASTREA,20032,CESAR
BECERRIL,20045,CESAR
BOSCONIA,20060,CESAR
CHIMICHAGUA,20175,CESAR
CHIRIGUANA,20178,CESAR
CURUMANI,20228,CESAR
EL COPEY,20238,CESAR
EL PASO,20250,CESAR
GAMARRA,20295,CESAR
GONZALEZ,20310,CESAR
LA GLORIA,20383,CESAR
LA JAGUA DE IBIRICO,20400,CESAR
MANAURE,20443,CESAR
PAILITAS,20517,CESAR
PELAYA,20550,CESAR
PUEBLO BELLO,20570,CESAR
RIO DE ORO,20614,CESAR
LA PAZ,20621,CESAR
SAN ALBERTO,20710,CESAR
SAN DIEGO,20750,CESAR
SAN MARTIN,20770,CESAR
TAMALAMEQUE,20787,CESAR
QUIBDO,27001,CHOCÓ
ACANDI,27006,CHOCÓ
ALTO BAUDO,27025,CHOCÓ
ATRATO,27050,CHOCÓ
BAGADO,27073,CHOCÓ
BAHIA SOLANO,27075,CHOCÓ
BAJO BAUDO,27077,CHOCÓ
BOJAYA,27099,CHOCÓ
CANTON DE SAN PABLO,27135,CHOCÓ
CARMEN DEL DARIEN,27150,CHOCÓ
CERTEGUI,27160,CHOCÓ
CONDOTO,27205,CHOCÓ
EL CARMEN DE ATRATO,27245,CHOCÓ
EL LITORAL DEL SAN JUAN,27250,CHOCÓ
ITSMINA,27361,CHOCÓ
JURADO,27372,CHOCÓ
LLORO,27413,CHOCÓ
MEDIO ATRATO,27425,CHOCÓ
MEDIO BAUDÓ,27430,CHOCÓ
MEDIO SAN JUAN,27450,CHOCÓ
NOVITA,27491,CHOCÓ
NUQUI,27495,CHOCÓ
RIO IRO,27580,CHOCÓ
RIO QUITO,27600,CHOCÓ
SAN JOSE DEL PALMAR,27660,CHOCÓ
SIPI,27745,CHOCÓ
TADO,27787,CHOCÓ
UNGUIA,27800,CHOCÓ
UNION PANAMERICANA,27810,CHOCÓ
AGUA DE DIOS,25001,CUNDINAMARCA
ALBAN,25019,CUNDINAMARCA
ANAPOIMA,25035,CUNDINAMARCA
ANOLAIMA,25040,CUNDINAMARCA
ARBELAEZ,25053,CUNDINAMARCA
BELTRAN,25086,CUNDINAMARCA
BITUIMA,25095,CUNDINAMARCA
BOJACA,25099,CUNDINAMARCA
CABRERA,25120,CUNDINAMARCA
CACHIPAY,25123,CUNDINAMARCA
CAJICA,25126,CUNDINAMARCA
CAPARRAPI,25148,CUNDINAMARCA
CAQUEZA,25151,CUNDINAMARCA
CARMEN DE CARUPA,25154,CUNDINAMARCA
CHAGUANI,25168,CUNDINAMARCA
CHIA,25175,CUNDINAMARCA
CHIPAQUE,25178,CUNDINAMARCA
CHOACHI,25181,CUNDINAMARCA
CHOCONTA,25183,CUNDINAMARCA
COGUA,25200,CUNDINAMARCA
COTA,25214,CUNDINAMARCA
CUCUNUBA,25224,CUNDINAMARCA
EL COLEGIO,25245,CUNDINAMARCA
EL ROSAL,25260,CUNDINAMARCA
FACATATIVA,25269,CUNDINAMARCA
FOMEQUE,25279,CUNDINAMARCA
FOSCA,25281,CUNDINAMARCA
FUNZA,25286,CUNDINAMARCA
FUQUENE,25288,CUNDINAMARCA
FUSAGASUGA,25290,CUNDINAMARCA
GACHALA,25293,CUNDINAMARCA
GACHANCIPA,25295,CUNDINAMARCA
GACHETA,25297,CUNDINAMARCA
GAMA,25299,CUNDINAMARCA
GIRARDOT,25307,CUNDINAMARCA
GUACHETA,25317,CUNDINAMARCA
GUADUAS,25320,CUNDINAMARCA
GUASCA,25322,CUNDINAMARCA
GUATAQUI,25324,CUNDINAMARCA
GUATAVITA,25326,CUNDINAMARCA
GUAYABAL DE SIQUIMA,25328,CUNDINAMARCA
GUAYABETAL,25335,CUNDINAMARCA
GUTIERREZ,25339,CUNDINAMARCA
JERUSALEN,25368,CUNDINAMARCA
JUNIN,25372,CUNDINAMARCA
LA CALERA,25377,CUNDINAMARCA
LA MESA,25386,CUNDINAMARCA
LA PALMA,25394,CUNDINAMARCA
LA PEÑA,25398,CUNDINAMARCA
LENGUAZAQUE,25407,CUNDINAMARCA
MACHETA,25426,CUNDINAMARCA
MADRID,25430,CUNDINAMARCA
MANTA,25436,CUNDINAMARCA
MEDINA,25438,CUNDINAMARCA
MOSQUERA,25473,CUNDINAMARCA
NEMOCON,25486,CUNDINAMARCA
NILO,25488,CUNDINAMARCA
NIMAIMA,25489,CUNDINAMARCA
NOCAIMA,25491,CUNDINAMARCA
PACHO,25513,CUNDINAMARCA
PAIME,25518,CUNDINAMARCA
PANDI,25524,CUNDINAMARCA
PARATEBUENO,25530,CUNDINAMARCA
PASCA,25535,CUNDINAMARCA
PUERTO SALGAR,25572,CUNDINAMARCA
PULI,25580,CUNDINAMARCA
QUEBRADANEGRA,25592,CUNDINAMARCA
QUETAME,25594,CUNDINAMARCA
QUIPILE,25596,CUNDINAMARCA
APULO,25599,CUNDINAMARCA
RICAURTE,25612,CUNDINAMARCA
SAN ANTONIO DE TEQUENDAMA,25645,CUNDINAMARCA
SAN BERNARDO,25649,CUNDINAMARCA
SAN CAYETANO,25653,CUNDINAMARCA
SAN JUAN DE RIO SECO,25662,CUNDINAMARCA
SASAIMA,25718,CUNDINAMARCA
SESQUILE,25736,CUNDINAMARCA
SIBATE,25740,CUNDINAMARCA
SILVANIA,25743,CUNDINAMARCA
SIMIJACA,25745,CUNDINAMARCA
SOACHA,25754,CUNDINAMARCA
SOPO,25758,CUNDINAMARCA
SUBACHOQUE,25769,CUNDINAMARCA
SUESCA,25772,CUNDINAMARCA
SUPATA,25777,CUNDINAMARCA
SUSA,25779,CUNDINAMARCA
SUTATAUSA,25781,CUNDINAMARCA
TABIO,25785,CUNDINAMARCA
TAUSA,25793,CUNDINAMARCA
TENA,25797,CUNDINAMARCA
TENJO,25799,CUNDINAMARCA
TIBACUY,25805,CUNDINAMARCA
TIBIRITA,25807,CUNDINAMARCA
TOCAIMA,25815,CUNDINAMARCA
TOCANCIPA,25817,CUNDINAMARCA
TOPAIPI,25823,CUNDINAMARCA
UBALA,25839,CUNDINAMARCA
UBAQUE,25841,CUNDINAMARCA
UBATE,25843,CUNDINAMARCA
UNE,25845,CUNDINAMARCA
UTICA,25851,CUNDINAMARCA
VERGARA,25862,CUNDINAMARCA
VIANI,25867,CUNDINAMARCA
VILLAGOMEZ,25871,CUNDINAMARCA
VILLAPINZON,25873,CUNDINAMARCA
VILLETA,25875,CUNDINAMARCA
VIOTA,25878,CUNDINAMARCA
YACOPI,25885,CUNDINAMARCA
ZIPACON,25898,CUNDINAMARCA
ZIPAQUIRA,25899,CUNDINAMARCA
INIRIDA,94001,GUAINÍA
BARRANCOMINAS,94343,GUAINÍA
MAPIRIPANA,94663,GUAINÍA
SAN FELIPE,94883,GUAINÍA
LA GUADALUPE,94885,GUAINÍA
CACAHUAL,94886,GUAINÍA
PANA PANA,94887,GUAINÍA
MORICHAL,94888,GUAINÍA
RIOHACHA,44001,LA GUAJIRA
BARRANCAS,44078,LA GUAJIRA
DIBULLA,44090,LA GUAJIRA
DISTRACCION,44098,LA GUAJIRA
EL MOLINO,44110,LA GUAJIRA
FONSECA,44279,LA GUAJIRA
HATONUEVO,44378,LA GUAJIRA
LA JAGUA DEL PILAR,44420,LA GUAJIRA
MAICAO,44430,LA GUAJIRA
SAN JUAN DEL CESAR,44650,LA GUAJIRA
URIBIA,44847,LA GUAJIRA
URUMITA,44855,LA GUAJIRA
SAN JOSE DEL GUAVIARE,95001,GUAVIARE
EL RETORNO,95025,GUAVIARE
NEIVA,41001,HUILA
ACEVEDO,41006,HUILA
AGRADO,41013,HUILA
AIPE,41016,HUILA
ALGECIRAS,41020,HUILA
ALTAMIRA,41026,HUILA
BARAYA,41078,HUILA
CAMPOALEGRE,41132,HUILA
COLOMBIA,41206,HUILA
ELIAS,41244,HUILA
GARZON,41298,HUILA
GIGANTE,41306,HUILA
HOBO,41349,HUILA
IQUIRA,41357,HUILA
ISNOS,41359,HUILA
LA ARGENTINA,41378,HUILA
LA PLATA,41396,HUILA
NATAGA,41483,HUILA
OPORAPA,41503,HUILA
PAICOL,41518,HUILA
PALERMO,41524,HUILA
PITAL,41548,HUILA
PITALITO,41551,HUILA
RIVERA,41615,HUILA
SALADOBLANCO,41660,HUILA
SAN AGUSTIN,41668,HUILA
SANTA MARIA,41676,HUILA
SUAZA,41770,HUILA
TARQUI,41791,HUILA
TESALIA,41797,HUILA
TELLO,41799,HUILA
TERUEL,41801,HUILA
TIMANA,41807,HUILA
VILLAVIEJA,41872,HUILA
YAGUARA,41885,HUILA
SANTA MARTA,47001,MAGDALENA
ALGARROBO,47030,MAGDALENA
ARACATACA,47053,MAGDALENA
ARIGUANI,47058,MAGDALENA
CERRO SAN ANTONIO,47161,MAGDALENA
CHIVOLO,47170,MAGDALENA
CIENAGA,47189,MAGDALENA
EL BANCO,47245,MAGDALENA
EL PIÑON,47258,MAGDALENA
EL RETEN,47268,MAGDALENA
FUNDACION,47288,MAGDALENA
GUAMAL,47318,MAGDALENA
NUEVA GRANADA,47460,MAGDALENA
PEDRAZA,47541,MAGDALENA
PIJIÑO DEL CARMEN,47545,MAGDALENA
PIVIJAY,47551,MAGDALENA
PLATO,47555,MAGDALENA
PUEBLOVIEJO,47570,MAGDALENA
REMOLINO,47605,MAGDALENA
SABANAS DE SAN ANGEL,47660,MAGDALENA
SAN SEBASTIAN DE BUENAVISTA,47692,MAGDALENA
SAN ZENON,47703,MAGDALENA
SANTA ANA,47707,MAGDALENA
SANTA BARBARA DE PINTO,47720,MAGDALENA
SITIONUEVO,47745,MAGDALENA
TENERIFE,47798,MAGDALENA
ZAPAYAN,47960,MAGDALENA
ZONA BANANERA,47980,MAGDALENA
VILLAVICENCIO,50001,META
ACACIAS,50006,META
BARRANCA DE UPIA,50110,META
CABUYARO,50124,META
CASTILLA LA NUEVA,50150,META
CUBARRAL,50223,META
CUMARAL,50226,META
EL CALVARIO,50245,META
EL CASTILLO,50251,META
EL DORADO,50270,META
FUENTE DE ORO,50287,META
MAPIRIPAN,50325,META
MESETAS,50330,META
LA MACARENA,50350,META
LA URIBE,50370,META
LEJANIAS,50400,META
PUERTO CONCORDIA,50450,META
PUERTO GAITAN,50568,META
PUERTO LOPEZ,50573,META
PUERTO LLERAS,50577,META
RESTREPO,50606,META
SAN CARLOS GUAROA,50680,META
SAN JUAN DE ARAMA,50683,META
SAN JUANITO,50686,META
VISTA HERMOSA,50711,META
PASTO,52001,NARIÑO
ALDANA,52022,NARIÑO
ANCUYA,52036,NARIÑO
ARBOLEDA,52051,NARIÑO
BARBACOAS,52079,NARIÑO
BELEN,52083,NARIÑO
BUESACO,52110,NARIÑO
COLON,52203,NARIÑO
CONSACA,52207,NARIÑO
CONTADERO,52210,NARIÑO
CUASPUD,52224,NARIÑO
CUMBAL,52227,NARIÑO
CUMBITARA,52233,NARIÑO
CHACHAGUI,52240,NARIÑO
